Date,Spark30S_Atlantic_USD_day,Spark25S_Pacific_USD_day,Spread_USD_day
2024-01-01,100837.69,85869.88,-14967.81
2024-01-02,100070.15,91471.12,-8599.03
2024-01-03,102506.37,90983.62,-11522.75
2024-01-04,108182.55,86366.87,-21815.68
2024-01-05,106243.59,86881.47,-19362.12
2024-01-06,104478.84,84909.36,-19569.48
2024-01-07,110123.23,87690.93,-22432.3
2024-01-08,111934.37,85705.14,-26229.23
2024-01-09,108594.08,84527.02,-24067.06
2024-01-10,109612.35,79125.6,-30486.75
2024-01-11,106480.3,78564.19,-27916.11
2024-01-12,103626.7,72131.56,-31495.14
2024-01-13,103862.77,68848.68,-35014.09
2024-01-14,95426.9,72912.81,-22514.09
2024-01-15,88559.77,76631.66,-11928.11
2024-01-16,87000.67,78881.79,-8118.88
2024-01-17,83765.2,76713.02,-7052.18
2024-01-18,86130.6,77501.56,-8629.04
2024-01-19,83338.49,78325.44,-5013.05
2024-01-20,78775.72,75583.75,-3191.97
2024-01-21,86147.43,81081.85,-5065.58
2024-01-22,85981.78,84131.63,-1850.15
2024-01-23,86970.61,83560.29,-3410.32
2024-01-24,81855.3,83767.74,1912.44
2024-01-25,80736.0,84476.3,3740.3
2024-01-26,82312.08,78340.29,-3971.79
2024-01-27,78644.29,78177.47,-466.82
2024-01-28,81410.68,76701.71,-4708.97
2024-01-29,79954.93,74389.12,-5565.81
2024-01-30,79839.62,74443.14,-5396.48
2024-01-31,78454.11,80701.23,2247.12
2024-02-01,86980.69,82835.4,-4145.29
2024-02-02,87148.36,81091.84,-6056.52
2024-02-03,83078.55,82924.99,-153.56
2024-02-04,86892.19,87025.57,133.38
2024-02-05,82105.65,89261.71,7156.06
2024-02-06,83470.68,88648.35,5177.67
2024-02-07,75978.47,85945.12,9966.65
2024-02-08,71714.18,87515.58,15801.4
2024-02-09,73928.64,87982.04,14053.4
2024-02-10,78039.58,89873.64,11834.06
2024-02-11,79421.93,90762.09,11340.16
2024-02-12,79468.28,92770.32,13302.04
2024-02-13,78717.91,89788.28,11070.37
2024-02-14,73282.06,92626.68,19344.62
2024-02-15,71373.13,91785.66,20412.53
2024-02-16,70640.0,96624.99,25984.99
2024-02-17,75998.8,92649.76,16650.96
2024-02-18,77914.77,96309.72,18394.95
2024-02-19,71159.1,94951.22,23792.12
2024-02-20,73373.6,91141.79,17768.19
2024-02-21,72475.64,88176.62,15700.98
2024-02-22,70445.34,85958.83,15513.49
2024-02-23,73717.26,86156.14,12438.88
2024-02-24,78283.68,86589.06,8305.38
2024-02-25,81938.59,83647.98,1709.39
2024-02-26,78089.64,82607.51,4517.87
2024-02-27,76688.89,88129.02,11440.13
2024-02-28,77933.05,91811.85,13878.8
2024-02-29,81572.54,91210.0,9637.46
2024-03-01,78971.52,89430.27,10458.75
2024-03-02,77746.68,88031.12,10284.44
2024-03-03,72903.38,88208.53,15305.15
2024-03-04,68126.42,83415.1,15288.68
2024-03-05,71803.34,81352.78,9549.44
2024-03-06,77228.48,75218.27,-2010.21
2024-03-07,76338.94,75855.54,-483.4
2024-03-08,79781.19,77127.62,-2653.57
2024-03-09,80252.12,74835.7,-5416.42
2024-03-10,76589.27,78898.58,2309.31
2024-03-11,77258.99,74109.77,-3149.22
2024-03-12,82508.4,69037.63,-13470.77
2024-03-13,80877.42,69492.58,-11384.84
2024-03-14,85751.34,72323.18,-13428.16
2024-03-15,73340.18,76734.22,3394.04
2024-03-16,75876.55,74228.55,-1648.0
2024-03-17,75159.66,76538.82,1379.16
2024-03-18,72910.04,75219.02,2308.98
2024-03-19,72388.25,73581.24,1192.99
2024-03-20,63541.16,75228.37,11687.21
2024-03-21,62590.24,75968.95,13378.71
2024-03-22,63981.49,69901.41,5919.92
2024-03-23,69656.78,73551.42,3894.64
2024-03-24,66720.0,76499.02,9779.02
2024-03-25,62856.25,73086.8,10230.55
2024-03-26,60546.2,73031.75,12485.55
2024-03-27,64076.33,73228.73,9152.4
2024-03-28,64847.54,72657.77,7810.23
2024-03-29,62048.48,69662.82,7614.34
2024-03-30,63642.53,66555.27,2912.74
2024-03-31,63353.74,65648.59,2294.85
2024-04-01,66521.65,68379.38,1857.73
2024-04-02,62631.81,68901.73,6269.92
2024-04-03,60570.6,66581.3,6010.7
2024-04-04,58400.12,67872.05,9471.93
2024-04-05,52103.75,58125.3,6021.55
2024-04-06,53418.58,61297.58,7879.0
2024-04-07,54405.03,55439.75,1034.72
2024-04-08,54212.8,54252.24,39.44
2024-04-09,53025.09,50864.67,-2160.42
2024-04-10,47177.5,47243.88,66.38
2024-04-11,45838.48,51304.94,5466.46
2024-04-12,44890.42,50027.76,5137.34
2024-04-13,42144.68,51274.6,9129.92
2024-04-14,42183.71,51170.38,8986.67
2024-04-15,44426.88,52602.63,8175.75
2024-04-16,52321.47,52645.41,323.94
2024-04-17,52527.87,48559.17,-3968.7
2024-04-18,52993.73,51674.3,-1319.43
2024-04-19,52033.78,49963.14,-2070.64
2024-04-20,43741.83,45190.2,1448.37
2024-04-21,43797.97,44235.89,437.92
2024-04-22,44145.93,49119.89,4973.96
2024-04-23,54022.19,51520.5,-2501.69
2024-04-24,52240.07,50041.4,-2198.67
2024-04-25,52564.08,48665.76,-3898.32
2024-04-26,51463.57,47468.31,-3995.26
2024-04-27,45890.82,53543.91,7653.09
2024-04-28,50075.6,53886.08,3810.48
2024-04-29,52233.25,54297.36,2064.11
2024-04-30,54287.15,56427.69,2140.54
2024-05-01,49290.31,55930.39,6640.08
2024-05-02,53998.91,53949.69,-49.22
2024-05-03,46975.84,52315.98,5340.14
2024-05-04,48568.43,51181.21,2612.78
2024-05-05,56375.43,50224.89,-6150.54
2024-05-06,50637.8,51621.08,983.28
2024-05-07,47131.71,50813.47,3681.76
2024-05-08,46601.64,52092.1,5490.46
2024-05-09,43674.48,50766.72,7092.24
2024-05-10,36814.52,50016.43,13201.91
2024-05-11,37081.53,43075.72,5994.19
2024-05-12,32763.26,45538.3,12775.04
2024-05-13,34986.14,46011.32,11025.18
