Date,Assessment,Route,Vessel_Type,Rate_USD_per_day
2024-01-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,98300.0
2024-01-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,93900.0
2024-01-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,99500.0
2024-01-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,105700.0
2024-01-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,93400.0
2024-01-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,93400.0
2024-01-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,106100.0
2024-01-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,100400.0
2024-01-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91800.0
2024-01-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,98800.0
2024-01-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91700.0
2024-01-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91700.0
2024-01-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,96600.0
2024-01-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,81400.0
2024-01-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,82700.0
2024-01-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,90700.0
2024-01-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,87500.0
2024-01-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,96700.0
2024-01-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88000.0
2024-01-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84300.0
2024-01-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,104300.0
2024-01-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,92400.0
2024-01-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,94300.0
2024-01-24,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,83600.0
2024-01-25,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,89600.0
2024-01-26,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,94000.0
2024-01-27,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,85000.0
2024-01-28,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,95500.0
2024-01-29,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88400.0
2024-01-30,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,90400.0
2024-01-31,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88000.0
2024-02-01,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,104900.0
2024-02-02,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91600.0
2024-02-03,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84000.0
2024-02-04,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,96900.0
2024-02-05,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,82300.0
2024-02-06,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,92000.0
2024-02-07,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,76600.0
2024-02-08,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,80700.0
2024-02-09,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,91000.0
2024-02-10,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,94500.0
2024-02-11,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,90200.0
2024-02-12,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,87900.0
2024-02-13,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,86200.0
2024-02-14,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,77600.0
2024-02-15,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,82500.0
2024-02-16,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,84000.0
2024-02-17,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,94200.0
2024-02-18,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88800.0
2024-02-19,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,73700.0
2024-02-20,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,87900.0
2024-02-21,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,82500.0
2024-02-22,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,80100.0
2024-02-23,Spark30S,Sabine Pass to Gate Terminal,174k m3 2-Stroke,88700.0
